"ComparisonGuid","ObjectType","SchemaName","ObjectName","ParentObjectName","DifferenceType","IsDeployable","IsDestructiveRisk","IsSelected","HasExplicitSelection"
"3143a5d0-fcb0-47d0-8320-602aa01c5c3d","Constraint","SMigration","DF_Onboarding_EntityScope_UpdatedUtc","Onboarding_EntityScope","MissingInTarget","True","False","True","True"
"7d6a2761-62ad-406a-adce-e55e98fbfc32","Constraint","SMigration","DF_Onboarding_RunEntitySelections_IsSelected","Onboarding_RunEntitySelections","MissingInTarget","True","False","True","True"
"401c5443-208e-4b48-a1b6-9ab3f18dedb7","Constraint","SMigration","DF_Onboarding_RunEntitySelections_RowStatus","Onboarding_RunEntitySelections","MissingInTarget","True","False","True","True"
"3060c86d-e703-487f-b5c3-50d8122fed32","Constraint","SMigration","DF_Onboarding_RunEntitySelections_SelectedByUserId","Onboarding_RunEntitySelections","MissingInTarget","True","False","True","True"
"2b152c8a-abb1-4b28-a8ab-1750eda5788b","Constraint","SMigration","DF_Onboarding_RunEntitySelections_SelectedOnUtc","Onboarding_RunEntitySelections","MissingInTarget","True","False","True","True"
"5403c3cd-1c9c-4219-84b0-fc9e30f466b3","Constraint","SMigration","DF_Onboarding_RunEntitySelections_SelectionSource","Onboarding_RunEntitySelections","MissingInTarget","True","False","True","True"
"1494260f-1647-4dbd-9c33-3d153481d572","Constraint","SMigration","DF_SMigration_Onboarding_Run_RowStatus","Onboarding_Run","MissingInTarget","True","False","True","True"
"6785d86e-a6ec-4821-902a-9f0d4ea27e34","Constraint","SMigration","DF_SMigration_Onboarding_Run_SourceServerName","Onboarding_Run","MissingInTarget","True","False","True","True"
"fe059b46-eaa0-4799-98a9-9eee0502487b","Constraint","SMigration","DF_SMigration_Onboarding_Run_TargetDatabaseName","Onboarding_Run","MissingInTarget","True","False","True","True"
"d8e2f10e-3c36-465f-bd03-5f97f3f9805a","Constraint","SMigration","DF_SMigration_Onboarding_Run_TargetServerName","Onboarding_Run","MissingInTarget","True","False","True","True"
"f376522f-e015-4e3e-9754-dec2e2a768e5","Constraint","SMigration","PK_Onboarding_EntityScope","Onboarding_EntityScope","MissingInTarget","True","False","True","True"
